AmazonカテゴリID,Amazonカテゴリ名,ヤフオクカテゴリID,ヤフオクカテゴリ名
361245011,服＆ファッション小物,44164,オークション > ファッション > ファッション小物 > その他
2131590051,服＆ファッション小物/ガールズ,23316,オークション > ファッション > レディースファッション > その他
2131593051,服＆ファッション小物/ガールズ/Tシャツ・カットソー,2084051318,オークション > ファッション > レディースファッション > Tシャツ > 半袖 > Mサイズ > 丸首 > その他
4644277051,服＆ファッション小物/ガールズ/アクティブウェア,2084006832,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > その他
4644278051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブシャツ・Tシャツ,2084057028,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > トップス > その他
4644283051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブショートパンツ,2084057038,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > ボトムス > ショート、ハーフ > その他
4644280051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブジャケット,2084057024,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > ジャケット、上着 > その他
4644282051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブスカート・スコート,2084006832,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > その他
4644279051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブベスト,2084057028,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > トップス > その他
4644284051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブロングパンツ,2084057034,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > ボトムス > ロング > その他
4644281051,服＆ファッション小物/ガールズ/アクティブウェア/アクティブワンピース,2084057048,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > 上下セット > その他
2249076051,服＆ファッション小物/ガールズ/アクティブウェア/ジャージ,2084203510,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > 上下セット > ジャージ > その他
2131598051,服＆ファッション小物/ガールズ/アクティブウェア/トレーナー・パーカー,2084303392,オークション > スポーツ、レジャー > スポーツウエア > 女性用 > パーカー
2131599051,服＆ファッション小物/ガールズ/アンサンブル,2084007130,オークション > ファッション > レディースファッション > カットソー > ツイン、アンサンブル
2131600051,服＆ファッション小物/ガールズ/カーディガン・ボレロ,2084064209,オークション > ファッション > レディースファッション > カーディガン > Mサイズ
2131594051,服＆ファッション小物/ガールズ/キャミソール・タンクトップ,2084064258,オークション > ファッション > レディースファッション > キャミソール
2131591051,服＆ファッション小物/ガールズ/コート・ジャケット,2084005208,オークション > ファッション > レディースファッション > ジャケット、上着 > その他
2131595051,服＆ファッション小物/ガールズ/シャツ・ブラウス,2084064242,オークション > ファッション > レディースファッション > シャツ、ブラウス > その他の袖丈 > Mサイズ
2131603051,服＆ファッション小物/ガールズ/スカート,2084054014,オークション > ファッション > レディースファッション > スカート > ひざ丈スカート > その他
2131601051,服＆ファッション小物/ガールズ/セーター,2084054035,オークション > ファッション > レディースファッション > ニット、セーター > その他の袖丈
2131598051,服＆ファッション小物/ガールズ/トレーナー・パーカー,2084064261,オークション > ファッション > レディースファッション > トレーナー > Mサイズ
2131608051,服＆ファッション小物/ガールズ/パジャマ,2084053160,オークション > ファッション > レディースファッション > ナイトウエア、パジャマ
2131604051,服＆ファッション小物/ガールズ/パンツ,2084224590,オークション > ファッション > レディースファッション > パンツ、スラックス > Mサイズ
2231285051,服＆ファッション小物/ガールズ/ファッション小物,44164,オークション > ファッション > ファッション小物 > その他
2231293051,服＆ファッション小物/ガールズ/ファッション小物/サングラス・ファッション眼鏡,2084224830,オークション > ファッション > ファッション小物 > サングラス > 女性用 > その他
2231286051,服＆ファッション小物/ガールズ/ファッション小物/ベルト,2084214915,オークション > ファッション > ファッション小物 > ベルト > 女性用 > その他
2231289051,服＆ファッション小物/ガールズ/ファッション小物/マフラー,2084006464,オークション > ファッション > ファッション小物 > マフラー > 女性用 > マフラー一般
2231290051,服＆ファッション小物/ガールズ/ファッション小物/傘,2084006437,オークション > ファッション > ファッション小物 > 雨傘 > 女性用
2231291051,服＆ファッション小物/ガールズ/ファッション小物/傘/折りたたみ傘,2084006437,オークション > ファッション > ファッション小物 > 雨傘 > 女性用
2231292051,服＆ファッション小物/ガールズ/ファッション小物/傘/長傘,2084006437,オークション > ファッション > ファッション小物 > 雨傘 > 女性用
2231287051,服＆ファッション小物/ガールズ/ファッション小物/帽子,2084006690,オークション > ファッション > ファッション小物 > 帽子 > 女性用 > その他
2231288051,服＆ファッション小物/ガールズ/ファッション小物/手袋,2084214886,オークション > ファッション > ファッション小物 > 手袋 > 女性用 > その他
2131592051,服＆ファッション小物/ガールズ/フォーマル,2084005917,オークション > ファッション > レディースファッション > フォーマル > その他
2131596051,服＆ファッション小物/ガールズ/ベスト,2084064266,オークション > ファッション > レディースファッション > ベスト > Mサイズ
