,ASIN,商品名,商品画像,商品説明(文章),商品説明(画像),最低価格,Amazonカテゴリ,ヤフオクカテゴリ
B0000DE77D,B07K8WQFWS,【正規輸入品】VACUVIN バキュバン ストッパー1個付き V-15,,サイズ:(ブリスターパック)商品の説明ボトル内の空気を吸い出して、飲み残しのワインを新鮮なままで保存します。簡単な手作業でボトル内の空気を抜き取りワインの酸素による酸化を防ぎ、最良の状態で約10日間の保存が可能です。【特長】・日本酒、しょうゆ等酸化によって味が変わるものの保存にも最適。【使用方法】（1）ストッパーをボトルの口にしっかりと入れます。（2）バキュームポンプをストッパーにかぶせてから、ポンプを数回上下します。（3）ポンプを上げる時にきつく感じたら、ポンプをストッパーから取り外してください。ボトルの中の空気が抜けた状態になり、ストッパーがボトルを密閉します。（4）開けるときには、ストッパーの上部に示されている矢印方向に親指と人指し指で強くつまみます。空気がボトルの中に入り、ストッパーが外れます。・スパークリングワイン、シャンパン、微発泡性ワイン、ビール、及び炭酸飲料にはご使用できませんので、ご注意ください。・商品の色は、ご使用のモニターによっては実際の色と異なって見える場合がございますので、ご了承ください。・掲載商品の中には、東急ハンズ各店舗でお取り扱いの無いものや価格の異なる場合もあります。お取り扱いにつきましては事前に各店舗にご確認くださいますようお願いいたします。Amazonより●飲み残しのワインの味と香りをほとんど変化させることなく、保存するワイン保存器具●ボトル内の空気を抜いて真空に近い状態で保存するので、酸化や湿気からワインを守る●ポンプを上下させるだけの簡単操作で空気が抜ける●レストランやバー、ソムリエの間ではおなじみの定番商品●ワインだけでなく、日本酒や醤油、生ジュースなどのビン類にも使える●グッドデザイン賞受賞商品●1983年に発明されて以来、20年以上に渡って愛用され続けている人気商品,[],1234,ホーム＆キッチン/キッチン用品/ワイン・酒・バー用品/ワインストッパー・バキュームポンプ,24678
B0000DIJ3P,B07K8WQFWS,宮崎製作所 ジオ 片手鍋 18cm 日本製 IH対応 オール熱源対応 15年保証 GEO-18N,,"サイズ:18cm| 

パターン(種類):ジオ(15年保証)商品の説明[商品スペック]●サイズ:18cm●容量:1.5L[商品詳細]ジオ・プロダクトは、開発に食育の第一人者服部幸應先生を招き、体の健やかさと心の豊かさを育てる「食育」を最優先に考えて開発したクッキングウェアです。「大切な家族に美味しい料理を食べさせたい」「素材を活かした本来の味を伝えたい」「健康で安全な食事を作りたい」「でも料理はラクに楽しくしたい」すべての親の願いです。年代を越えた変わらない価値を追求し、親子3代で愛用してもらえる確かな品質と機能を実現しました。ジオ・プロダクトはなにより機能美を重視。服部幸應先生が長い経験で培われた知識と知恵により、使いやすくムダのない、プロすらも憧れる実用的な美しさを実現しました。初めて使った時から、ふとした「あ、いつもとちがう！」を感じていただけるはずです。■全面7層構造の確かな品質全体にムラなく熱が伝わり、小さい熱量でより早く調理できる全面7層構造。製品の重量感はおいしく料理できる秘訣です。■オール電化に対応どんな熱源でも使えるから、キッチンスタイルの変更に影響なく末長くお使いいただけます。火種をえらばないからギフトにも喜ばれます。※ガス、ハロゲンヒーター、シーズヒーター、電磁調理器（IHヒーター）、オーブンに対応、電子レンジをのぞく。…Amazonより日本のものづくり　ジオ・プロダクトシリーズジオ・プロダクトは、開発に食育の第一人者服部幸應先生を招き、体の健やかさと心の豊かさを育てる「食育」最優先に考えて開発したクッキングウェア。年代を超えた変わらない価値を追求し、親子3代で愛用してもらえる確かな品質と機能を実現機能美を追求　～使い勝手の良い無駄のない美しさ～ジオ・プロダクトシリーズは使いやすくムダのない、実用的な美しさを実現【ポイント1】フチの段差や鍋底をシンプルに。洗いやすくお手入れしやすい、洗練されたフォルムにこだわっている【ポイント2】フチは注ぎやすく液ダレしにくい形状。油や汁が流れて、鍋肌や調理台の上が汚れることをカバーする【ポイント3】片手鍋やソテーパンには補助ハンドル付き。持ちあげたり移動しやすいように女性にやさしい設計になっている。さりげなく実用性を重視品質・構造　～匠の技～【全面7層構造】熱伝導性に優れたアルミニウムをステンレスでサンドイッチした全面7層構造。全体にムラなく伝わる熱効率性により、熱エネルギーを節約、調理時間も短縮する【ウォーターシール効果】ジオ・プロダクトは本体と蓋が密着する構造。またフタは適度な重さで蒸気穴が無いため、加熱すると鍋の中の水分が水蒸気となり本体と蓋の間に水の膜（ウォーターシール）を作って鍋を密閉する。定温・定圧に近い状態を保つことができるため「無水調理」余熱調理」可能になる【オーブンの調理】オールステンレス製だから、鍋ごとオーブンに入れられる【オール熱源対応】電子レンジを除いたガス、ハロゲンヒーター、シーズヒーター、電磁調理器（IHクッキングヒーター）、オーブンに対応15年ロング保証ジオ・プロダクトは親子3代に受け継がれる品質をモットーに生産されている。「いいもの、確かなもので永いおつきあい。」を目指して15年間の長期保証を行っている様々な用途におすすめの片手鍋片手鍋は煮る、茹でる、揚げるが可能な使い勝手の良い鍋。ジオ・プロダクトシリーズの片手鍋のサイズは4種類バリエーション片手鍋14cm片手鍋16cm片手鍋18cm片手鍋20cm","['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0000DIJ3P_01.png', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0000DIJ3P_02.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0000DIJ3P_03.jpg']",5228,ホーム＆キッチン/キッチン用品/鍋・フライパン/片手鍋/片手鍋・ソースパン,24678
B00027LF8W,B07K8WQFWS,東レ トレビーノ 浄水シャワー トレシャワーRS51/RS52用 交換カートリッジ RSC51,https://images-na.ssl-images-amazon.com/images/I/4174MEZLe1L.jpg,"商品の説明◆浄水シャワーRS-51W、RS51にご使用いただけます。◆カートリッジ交換時期の目安：約12000L（1日80L使用の場合約5ヶ月）◆1個入　／　　／Amazonよりご使用前に同封の「取扱説明書」をよくお読みください。残留塩素をしっかり除去カートリッジのろ材には繊維状活性炭を使用キューティクルの話水道水に含まれている残留塩素は髪や肌につくと、キューティクルなどのタンパク質や肌の脂質を酸化させ、枝毛、切れ毛、フケ、カユミ、肌アレ、乾燥肌の原因となることもありる塩素をしっかりとり除く除塩素シャワーなら、デリケートな肌にも使える除去できる物質遊離残留塩素（カルキ臭の元となり、また、髪や肌にダメージを与える）カートリッジの取り付け方1.シャワー上部を矢印の方向（左）に回して取外し、使用済みのカートリッジを取り出す2.グリップ部やホースに溜まっている水を逆さにして捨て、新しいカートリッジを差し込む（カートリッジに上下の区別はありません）3.シャワー上部を矢印の方向（右）に回して軽く締める※強く締めすぎると外れなくなる場合があるため、締める際は赤く囲まれた部分の印を合わせるカートリッジ交換目安交換目安：12,000L=5ヶ月(1日80L使用の場合)ろ材の種類：繊維状活性炭日本アトピー協会推薦品マーク日本アトピー協会推薦品であることを表すマーク日本アトピー協会はアトピー性皮膚炎及びアレルギー諸疾患患者の方の生活向上支援と、同疾患への正しい理解のための情報発信を行うことを目的としている","['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_01.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_02.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_03.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_04.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_05.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_06.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B00027LF8W_07.jpg']",1259,ホーム＆キッチン/キッチン用品/浄水器・整水器/浄水器・ポット交換カートリッジ/蛇口用カートリッジ,24678
B0002B15DS,B07K8WQFWS,京セラ 【シャープな切れ味でざくざくおろす】セラミック 大根 おろし器 CD-18,https://images-na.ssl-images-amazon.com/images/I/41TfjkY1kRL.jpg,パターン(種類):大根おろし器サイズ：外径160ｘ高さ30mm材質：本体/陶磁器　すべり止め/シリコン（耐熱温度110度）シャープな刃で組織をこわさずスピード仕上げ。サッと洗えて、後かたづけも簡単。,[],1174,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/おろし器,24678
B0002HNLAW,B07K8WQFWS,京セラ セラミック ロールシャープナー RS-20BK(N),,パターン(種類):ロールシャープナー商品紹介サイズ：幅158ｘ奥行き58ｘ高さ57mm重さ：65g材質：本体樹脂/グラスファイバー強化ポリアミド　ガイドスロット樹脂/ポリアミド　砥石部/ファインセラミックス耐熱温度：80℃（樹脂部）Amazonより簡単、清潔水なしで誰でも簡単に研げる。研ぎ屑で手や本体を汚すこともない思いついた時に、さっと取り出し包丁が研げる押して引いて約10回包丁を本体のガイド溝に入れて前後に10回程度往復させるだけで、荒研ぎと仕上げ研ぎが一度にできる潰れてしまった刃の切れ味があっという間に復活する京セラ製ファインセラミックホイール採用欧州、米国に次いで日本で特許を取得した京セラ製ファインセラミックホイールはホイールの溝の面で荒研ぎを、平らな面で仕上げ研ぎを行うので一度で荒研ぎと仕上げ研ぎができる研ぎ方向が違うよくある簡易研ぎ器と違い、セラミックホイールが回転し、刃先を縦方向に研げる従来の板砥石と同じ縦方向に刃付けができるので、しっかりとした刃付けができ、切れ味が長持ちする切れ味がよみがえる完熟トマトや、サンドウィッチなど、切れ味が悪いと刃が入りにくい食材でもロールシャープナーで研げば、スパッと切れるようになる商品の説明をすべて表示する,"['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0002HNLAW_001.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0002HNLAW_002.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0002HNLAW_003.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0002HNLAW_004.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0002HNLAW_005.jpg']",1221,ホーム＆キッチン/キッチン用品/調理・製菓道具/包丁・ナイフ・はさみ/研ぎ器,24678
B0006BLI2W,B07K8WQFWS,カリタ コーヒーミル 手挽き KH-3 #42077,,パターン(種類):KH-3商品紹介豆の挽き方にこだわるなら、手挽きミルシリーズがおすすめ。そのスタイルはインテリアとしても十分にお楽しみいただけます。メーカーについてコーヒー器具の老舗、Kalita(カリタ)。社名は、ドイツ語の「Kaffee(コーヒー)」と「Filter(フィルター)」に由来し、高い知名度を誇る。家庭で簡単にコーヒーを楽しんでもらいたい、より多くの人にコーヒーの美味しさを知ってもらいたい、との考えのもと、1958年に創業。国内においては、業界のパイオニア的存在といえる。各コーヒーの特徴を正確に捉え、満足度の高い味と香りを引き出すことに注力。コーヒーメーカー、エスプレッソマシン、ミル、フィルターなど、幅広く製造、販売している。近年は、コーヒーに優しいミルを目指し、業界初のセラミックカッターや、低速カッティングで豆に熱を持たせないギアを開発。本物志向が高まる現代、コーヒーをじっくり味わいたいというニーズに敏感に対応している。,[],1790,ホーム＆キッチン/キッチン用品/コーヒー・ティー用品/コーヒー用品/手挽きコーヒーミル,24678
B0006HIND8,B07K8WQFWS,HARIO (ハリオ) ワンカップティーメーカー 200ml ブラック OTM-1B,https://images-na.ssl-images-amazon.com/images/I/413LUwjTLyL.jpg,色:ブラック商品紹介商品説明「ハリオワンカップティーメーカーOTM-1Bブラック」は、一人分のお茶が手軽に美味しくいれられるティーメーカーです。日本茶はもちろん紅茶、ハーブティーにもOK。フタ付きなのでお茶を十分に蒸らせ、フタを逆さにすると、抽出後の茶こしを置くトレーにもなります。長い茶こし付きなので、一人分でも美味しくお茶が抽出できます。キッチン用品。Amazonより「ここがおすすめ！」担当バイヤーコメント今まで一人分のお茶を淹れるときは、ついついティーバッグで済ませていましたが、これがあればきちんと茶葉から入れられます！やはり茶葉から入れたお茶は美味しいもの。家族みんなで購入して、それぞれ好きなお茶を淹れられるのもいいですね。実はコーヒーも淹れられるのがポイントです。万能なので、プレゼントにも最適。職場にも一つ欲しいところです。商品紹介●ひとり分のお茶を美味しくいれるための、スタイリッシュでお手軽なティーメーカー。「ひとりでお茶」というとティーバックを使ってしまうことが多いが、美味しいお茶をいれるなら、リーフティーをたっぷりのお湯に浸して蒸らすのが一番。●本製品は縦長で茶葉がゆったり広がる大きな茶こしが特徴。ガラス製のカップだから好みの濃さになったら、すぐに茶葉を取り出すことができる。フタは茶こし置きとしても使える優れモノで、このセットさえあれば他には何もいらない。●機能性だけでなく、デザイン性にも優れているので、使うシーンを選ばない。色鮮やかなハーブティーや花茶など、味や香りだけでなく目でも楽しめるお茶をどうぞ。（三井貴美子）●ワンカップティーメーカー●一人分が美味しく入れることができる●日本茶はもちろん、紅茶、ハーブティーもOKバリエーション200mlブラックOTM-1B200mlホワイトOTM-1NW,['https://images-fe.ssl-images-amazon.com/images/P/B0006HIND8.09.IN01.LZZZZZZZ.jpg'],996,ホーム＆キッチン/キッチン用品/コーヒー・ティー用品/ティー用品/ティーメーカー・ティープレス,24678
B0007CM3H4,B07K8WQFWS,野田琺瑯 レクタングル浅型M ホワイトシリーズ WRA-M,,サイズ:浅型M商品の説明野田琺瑯のホワイトシリーズは食材が映える白で統一した容器です。冷蔵庫に収納しやすい形状でフタをすると積み重ねて収納できます。スペースの限られた冷蔵庫にもたくさん収まります。また、保存容器としてだけでなく、直火調理にも対応！冷蔵庫から出してすぐ、容器を移し替えることなく、直火・オーブン・湯煎などが可能です。揚げ物などの下ごしらえのバット、熱調理、保存容器、ゼリー型など、ひとつあれば広く活用できます。プロの料理家から一般のご家庭まで愛用者多数。メーカーについてホーローは、美しく衛生的なガラスに鉄の壊れにくさをミックスしたいわば「いいとこ取り」の材質で、ルーツをたどればツタンカーメン王のマスクまで遡る。そのホーローを自社工場で作り続けている、国産ホーローの代名詞とも言える存在が野田琺瑯だ。創業は1934年(昭和9年)。戦争により閉鎖された時期もあったが、戦後に再度創業し、素朴なあたたかみのあるホーロー製品を作りづづけてきた。近年、ホーローの良さが再評価される流れの中で、台湾ブリコ社と共同開発した鋳物ホーロー「BRICO」や、シンプルで機能的な保存容器「ホワイトシリーズ」がヒット。懐かしさの中に新しさを感じさせる製品群には様々な形や色が用意されており、好みや用途で選べるのも嬉しい。,[],1507,ホーム＆キッチン/キッチン用品/保存容器/保存容器・キャニスター,24678
B0007CM3HY,B07K8WQFWS,野田琺瑯 ラウンドストッカー ホワイトシリーズ 21cm WRS-21,,サイズ:21cm商品の説明●メーカー型番WRS-21●サイズ直径23.5×高さ21cm●容量7L●重量1800g●カラーホワイト●付属品中ブタAmazonより見た目も使い勝手も満足できるホーロー製ラウンドストッカー野菜やお米の保存、漬物にも使えるシンプルなストッカー平らなフタはスタッキングでき、トレイとしても使える内側にシールブタが付いているので、外ににおいが漏れにくい構造季節ごとに使い分けられる表面がガラス質のホーロー製品は、食材の風味や質を変化させにくく、においも移りにくい酸・塩分に強いので、梅漬けやみそ作りに適しているバリエーション24cmWRS-2421cmWRS-2118cmWRS-18,"['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0007CM3I8_01.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0007CM3I8_02.jpg']",4650,ホーム＆キッチン/キッチン用品/保存容器/保存容器・キャニスター,24678
B0009WCIDQ,B07K8WQFWS,貝印 KAI T型 ピーラー SELECT100 DH3000,https://images-na.ssl-images-amazon.com/images/I/31sAMiC8JTL.jpg,商品紹介商品説明「セレクト100T型ピーラー000DH3000」は、手にフィットしてよく切れる斜めの刃のステンレスピーラーです。刃が斜めに設定してあるので、切り始めがスムーズ。U字の芽取はぐるっと回すようにすると、きれいに芽がとれます。ハンドルは滑りにくいウェーブの一体型で洗いやすく、清潔に保てます。手にフィットしてよく切れる斜めの刃を採用。切り始めがスムーズです。U字の芽取はぐるっと回すようにすると、きれいに芽がとれます。ハンドルは滑りにくいウェーブの一体型で洗いやすく、清潔に保てます。材質ステンレス刃物鋼・18-8ステンレススチールAmazonより「ここがおすすめ！」担当バイヤーコメント持ち手が波型になっていて持ちやすいでえす。その上、切れ味が抜群なので、面倒だった皮むきも、少し楽しくなると思います。商品紹介手にフィットして、よく切れる斜め刃のステンレスピーラー使いやすい道具はシンプルで美しく、手になじむ料理のプロたちが厳しくチェックしたうえに考え抜かれた道具のシリーズ切れ味を追求した刃の形状切ればなれが良く、スムーズにむける50mmのワイドな刃幅キュウリなどのスライスも便利たわみが少なく均一にむける幅広い刃のガイド部分たわみが少なく均一にむける刃は10度の斜め設計切り始めがスムーズでなめらかに切れるステンレスU字の芽取りステンレスU字型の芽取りが付いてぐるっと回すようにするときれいに芽が取れる人間生活工学を考えたハンドルどこを持っても持ちやすく滑りにくいウェーブロングサイズのハンドルだから持ちやすい「使った人が100％満足できるものにしたい」という思いが込められた「SELECT100」使いやすい道具はシンプルで美しく、手になじむ、それがSELECT100の考え方。料理のプロたちが厳しくチェックしたうえに考え抜かれた道具シリーズ「SELECT100」の開発は、一度、原点に戻って調理器具を見直すところからはじまっている。ユーザーの方々からお寄せいただいたご意見と、料理の専門家によるアドバイスを取り入れながら、それぞれの道具が持っている本来の役割を最大限に活かすように作られている。すっきりと洗練されたデザインもすべて、優れた機能が生み出した意味のあるカタチになっているシリーズのラインナップは、現在22アイテム。ご家庭でよく作られているレシピをもとに、最も使用頻度の高い道具からスタートした。ひとつずつ買い揃えていくたび、料理を作る楽しさもアップしていくはず「使った人が100％満足できるものにしたい」という思いが込められた「SELECT100」,"['https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0009WCIDQ.01.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0009WCIDQ.02.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0009WCIDQ.03.jpg', 'https://images-fe.ssl-images-amazon.com/images/G/09/detail/review/B0009WCIDQ.04.jpg', 'http://g-ec3.images-amazon.com/images/G/09/detail/review/kitchen/brandstore/select100_logo_20100215._V192251872_.jpg']",1823,ホーム＆キッチン/キッチン用品/調理・製菓道具/調理器具/皮むき器(ピーラー),24678
